# ell TT EE
2.000000000000000000e+00 1.040445708473326476e+03 3.100762561929753386e-02
3.000000000000000000e+00 4.937108487015092919e+02 2.008208151998091759e-02
4.000000000000000000e+00 2.807956999603265444e+02 1.055692032837357054e-02
5.000000000000000000e+00 1.795291552596244173e+02 4.751318787909867593e-03
6.000000000000000000e+00 1.245183979318123590e+02 1.917202348084716445e-03
7.000000000000000000e+00 9.163918459783212711e+01 7.789672816523954008e-04
8.000000000000000000e+00 7.047641316862278416e+01 3.881424899730529193e-04
9.000000000000000000e+00 5.610229093692559132e+01 2.483675286163668683e-04
1.000000000000000000e+01 4.588889052191893825e+01 1.741540758157432097e-04
1.100000000000000000e+01 3.834544983716451583e+01 1.229174802921654706e-04
1.200000000000000000e+01 3.266126069363340179e+01 9.112394404021084660e-05
1.300000000000000000e+01 2.822418194338521857e+01 7.501855856097583864e-05
1.400000000000000000e+01 2.469305786286073001e+01 6.768323429061206674e-05
1.500000000000000000e+01 2.181216287232859230e+01 6.409407439327855177e-05
1.600000000000000000e+01 1.947048691543453103e+01 6.247686485868900793e-05
1.700000000000000000e+01 1.754166894058144877e+01 6.307235326282537296e-05
1.800000000000000000e+01 1.591557178537511774e+01 6.601114381843451275e-05
1.900000000000000000e+01 1.454456698925032754e+01 7.068987497530800079e-05
2.000000000000000000e+01 1.335503750709690252e+01 7.627444364223797215e-05
2.100000000000000000e+01 1.232476399113090437e+01 8.235458053039120593e-05
2.200000000000000000e+01 1.142662518376105929e+01 8.885275244320379562e-05
2.300000000000000000e+01 1.063438912453886509e+01 9.552058165601699173e-05
2.400000000000000000e+01 9.934980301362491772e+00 1.022338660693779657e-04
2.500000000000000000e+01 9.315612661922711979e+00 1.089584954962050702e-04
2.600000000000000000e+01 8.760112555814956181e+00 1.157357481081872579e-04
2.700000000000000000e+01 8.263096288333759531e+00 1.225882794501500313e-04
2.800000000000000000e+01 7.815236200978607606e+00 1.294002931308522748e-04
2.900000000000000000e+01 7.409548723572441098e+00 1.363139354262057814e-04
